"id","title.orig","title.Arab","title.Latn","language.main","language.other","date.onset","date.terminus","location.id","toponym","toponym.Arab","toponym.Latn","lat","long","holdings","digitised"
"jaraid:t1r1","La décade égyptienne","La décade égyptienne","La décade égyptienne","ar","fr","1799-12-15","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","T","T"
"jaraid:t1r2","التنبيه","التنبيه","al-Tanbīh","ar","fr","1800","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r3","الجورنال الخديوي","الجورنال الخديوي","al-Jūrnāl al-Khidīwī","ar","ota","1813","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r4","جورنال العراق","جورنال العراق","Jūrnāl al-ʿIrāq","ar","ota","1816","","geon:98182","Baghdad","بغداد","Baghdād","33.34058","44.40088","F","F"
"jaraid:t1r5","الوقائع المصرية","الوقائع المصرية","Waqāʾiʿ-i Miṣriyye","ar","ota","1828-12-03","","geon:1146359","Būlāq","بولاق","Būlāq","32.6223","61.55484","T","F"
"jaraid:t1r843","اخبار القاصد","اخبار القاصد","Akhbār al-Qāṣid","ar","NA","1833-01-01","","geon:2562305","Valetta (Malta)","فاليتا","Valetta (Malta)","35.89968","14.5148","T","F"
"jaraid:t1r6","الجريدة العسكرية","الجريدة العسكرية","al-Jarīda al-ʿAskariyya","ar","NA","1834","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r7","الأخبار","الأخبار","L'Akhbar","ar","fr fr","1839-07-12","","geon:2507480","Algiers","الجزائر","Algiers","36.73225","3.08746","T","F"
"jaraid:t1r8","المبشر","المبشر","al-Mubashshir","ar","fr","1847-09-15","","geon:2507480","Algiers","الجزائر","Algiers","36.73225","3.08746","T","F"
"jaraid:t1r9","الحوادث التجارية والاعلانات الملكية","الحوادث التجارية والاعلانات الملكية","al-Ḥawādith al-Tijāriyya wa'l-Iʿlānāt al-Mulkiyya","ar","NA","1848-10-25","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r10","تقويم الاخبار عن الحوادث التجارية والاعلانات الملكية","تقويم الاخبار عن الحوادث التجارية والاعلانات الملكية","Taqwīm al-Akhbār ʿan al-Ḥawādith al-Tijāriyya wa'l-Iʿlānāt al-Mulkiyya","ar","NA","1848-11-01","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r11","اعمال الجمعية السورية","اعمال الجمعية السورية","Aʿmāl al-Jamʿiyya al-Sūriyya","ar","NA","1852-01-06","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r12","مجموع فوايد لنخبة افاضل","مجموع فوايد لنخبة افاضل","Majmūʿ Fawāyid li-Nakhbat Afāḍil","ar","NA","1853","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","F","F"
"jaraid:t1r16","الاحوال","الاحوال","Mirʾāt al-Aḥwāl","ar","NA","1855","","geon:745044","Istanbul","الأستانة","Astāna","41.01384","28.94966","T","F"
"jaraid:t1r15","طالب الخير لقومه","طالب الخير لقومه","Doresh Tov le-ʿAmmo","ar","jrb","1855","","geon:1275339","Bombay","ممباي","Bombay","19.07283","72.88261","F","F"
"jaraid:t1r18","السلطنة","السلطنة","al-Salṭana","ar","NA","1857-01-01","","geon:745044","Istanbul","الأستانة","Astāna","41.01384","28.94966","F","F"
"jaraid:t1r21","حديقة الاخبار","حديقة الاخبار","Ḥadīqat al-Akhbār","ar","fr","1858-06-29","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","T"
"jaraid:t1r23","عطارد","عطارد","ʿUṭārid","ar","NA","1858-10-09","","geon:2995469","Marseille","مرسيليا","Marseille","43.29695","5.38107","T","F"
"jaraid:t1r20","برجيس باريس","برجيس باريس","Birjīs Bārīs","ar","fr","1859-06-24","","geon:2988507","Paris","باريز","Paris","48.85341","2.3488","T","F"
"jaraid:t1r25","الجوائب","الجوائب","al-Jawāʾib","ar","ota","1860-07-01","","geon:745044","Istanbul","الأستانة","Astāna","41.01384","28.94966","T","F"
"jaraid:t1r27","الرائد التونسي","الرائد التونسي","al-Rāʾid al-Tūnisī","ar","NA","1860-07-22","","geon:2464470","Tunis","تونس","Tunis","36.81897","10.16579","T","F"
"jaraid:t1r850","L'Aigle de Paris (Birgys)","L'Aigle de Paris (Birgys)","L'Aigle de Paris (Birgys)","ar","fr","1860-08-01","","geon:2988507","Paris","باريز","Paris","48.85341","2.3488","T","F"
"jaraid:t1r26","نفير سورية / نفير سورية او الوطنية","نفير سورية / نفير سورية او الوطنية","Nafīr Sūriyya/ Nafīr Sūriyya aw al-Waṭaniyya","ar","NA","1860-09-29","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r29","رسالة قلب يسوع المالطية","رسالة قلب يسوع المالطية","Risālat Qalb Yasūʿ al-Mālṭiyya","ar","NA","1861-01-01","","geon:2562305","Valetta (Malta)","فاليتا","Valetta (Malta)","35.89968","14.5148","F","F"
"jaraid:t1r33","نتائج الاخبار","نتائج الاخبار","Natāʾij al-Akhbār","ar","NA","1863","","geon:2464470","Tunis","تونس","Tunis","36.81897","10.16579","F","F"
"jaraid:t1r31","اخبار عن انتشار الانجيل في اماكن مختلفة / العالم","اخبار عن انتشار الانجيل في اماكن مختلفة / العالم","Akhbār ʿan Intishār al-Anjīl fi Amākin Mukhtalifa / al-ʿĀlam","ar","NA","1863-03-01","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r37","يعسوب الطب","يعسوب الطب","Yaʿsūb al-Ṭibb","ar","NA","1865","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","T","F"
"jaraid:t1r35","الجريدة العسكرية المصرية","الجريدة العسكرية المصرية","al-Jarīda al-ʿAskariyya al-Miṣriyya","ar","NA","1865-09-22","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","T","F"
"jaraid:t1r36","سورية","سورية","Sūriyya","ar","ota","1865-11-19","","geon:170654","Damascus","دمشق","Dimashq","33.5102","36.29128","T","F"
"jaraid:t1r41","طرابلس الغرب","طرابلس الغرب","Ṭarābulus al-Gharb","ar","ota ota","1866","","geon:2210247","Tripoli","طرابلس الغرب","Tripoli","33.49199","36.24247","T","F"
"jaraid:t1r39","النشرة الشهرية","النشرة الشهرية","al-Nashra al-Shahriyya","ar","NA","1866-01-01","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r40","الشركة الشحرية","الشركة الشحرية","al-Sharika al-Shaḥriyya","ar","NA","1866-01-01","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r46","الجريدة الرسمية","الجريدة الرسمية","al-Jarīda al-Rasmiyya","ar","NA","1867","","geon:277226","بعبدا","بعبدا","بعبدا","33.83389","35.54417","T","F"
"jaraid:t1r48","المشتري","المشتري","al-Mushtarī","ar","NA","1867","","geon:2988507","Paris","باريز","Paris","48.85341","2.3488","F","F"
"jaraid:t1r47","لبنان","لبنان","Lubnān","ar","fr","1867","","geon:276771","Bayt al-Dīn","بيت الدين","Bayt al-Dīn","33.69417","35.58083","F","F"
"jaraid:t1r44","الفرات/ فرات","الفرات/ فرات","al-Furāt/Furāt","ar","ota hy","1867-05-28","","geon:170063","Aleppo","حلب","Ḥalab","36.20124","37.16117","T","F"
"jaraid:t1r43","اعمال شركة مار منصور دي بول","اعمال شركة مار منصور دي بول","Aʿmāl Sharikat Mār Manṣūr dī Būl","ar","NA","1867-06-01","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r49","وادي النيل","وادي النيل","Wādī al-Nīl","ar","NA","1867-07-01","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","T","F"
"jaraid:t1r45","غدير الفرات","غدير الفرات","Ghadīr al-Furāt","ar","ota hy","1867-09-12","","geon:170063","Aleppo","حلب","Ḥalab","36.20124","37.16117","T","T"
"jaraid:t1r51","اعمال الجمعية العلمية السورية","اعمال الجمعية العلمية السورية","Aʿmāl al-Jamʿiyya al-ʿIlmiyya al-Sūriyya","ar","NA","1868","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r52","مجموعة العلوم","مجموعة العلوم","Majmūʿat al-ʿUlūm","ar","NA","1868-01-15","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r53","رجوم الغساق الى فارس الشدياق","رجوم الغساق الى فارس الشدياق","Rujūm wa-Ghassāq ilā Fāris al-Shidyāq","ar","NA","1868-05-04","","geon:2643743","London","لندن","London","51.50853","-0.12574","T","F"
"jaraid:t1r55","الزوراء","الزوراء","al-Zawrāʾ","ar","ota","1869-06-15","","geon:98182","Baghdad","بغداد","Baghdād","33.34058","44.40088","T","T"
"jaraid:t1r68","الزهرة","الزهرة","al-Zahra","ar","NA","1870","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","T"
"jaraid:t1r59","Statistique de l'Égypte","Statistique de l'Égypte","Statistique de l'Égypte","ar","NA","1870","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r57","ادزيري","ادزيري","Adzīrī","ar","jrb fr","1870","","geon:2507480","Algiers","الجزائر","Algiers","36.73225","3.08746","F","F"
"jaraid:t1r64","المنبه التجاري المصري","المنبه التجاري المصري","al-Munabbih al-Tijārī al-Miṣrī","ar","it arz fr","1870","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r61","الجنان","الجنان","al-Jinān","ar","NA","1870-01-01","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","T"
"jaraid:t1r62","المجمع الفاتكاني","المجمع الفاتكاني","al-Majmaʿ al-Fātikānī","ar","NA","1870-01-01","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","F","F"
"jaraid:t1r63","المهماز","المهماز","al-Mihmāz","ar","NA","1870-02-25","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r67","روضة المدارس المصرية","روضة المدارس المصرية","Rawḍat al-Madāris al-Miṣriyya","ar","NA","1870-04-17","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","T","T"
"jaraid:t1r65","النحلة","النحلة","al-Naḥla","ar","NA","1870-05-11","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r60","الجنة","الجنة","al-Janna","ar","NA","1870-06-11","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r66","نزهة الافكار","نزهة الافكار","Nuzhat al-Afkār","ar","NA","1870-08-12","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r58","البشير","البشير","al-Bashīr","ar","NA","1870-09-03","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","T"
"jaraid:t1r72","النفع العزيم لاهل هذا الاقليم","النفع العزيم لاهل هذا الاقليم","al-Nafʿ al-ʿAzīm li-Ahl hādhā al-Iqlīm","ar","NA","1871","","geon:1172451","Lahore","لاهور","Lahore","31.558","74.35071","F","F"
"jaraid:t1r74","النحلة الحرة","النحلة الحرة","al-Naḥla al-Ḥurra","ar","NA","1871","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r73","النحلة و الزهرة","النحلة و الزهرة","al-Naḥla wa'l-Zahra","ar","NA","1871","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r71","كوكب الصبح المنير","كوكب الصبح المنير","Kawkab al-Ṣubḥ al-Munīr","ar","NA","1871-01-01","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r75","النجاح","النجاح","al-Najāḥ","ar","NA","1871-01-09","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r76","النشرة الاسبوعية","النشرة الاسبوعية","al-Nashra al-Usbūʿiyya","ar","NA","1871-01-10","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
